id;title;category;language;link;key;stanza1;stanza2;stanza3;stanza4;stanza5;stanza6;stanza7
1;Dir gehört mein Lob;Praise;DEU;https://www.youtube.com/watch?v=u2kyiLkGYLc&list=RDu2kyiLkGYLc&start_radio=1;G;"Verse 1$$Dir gehört mein Lob
wenn dein Segen in Strömen fließt
du mir mehr als genügend gibst
Dir gehört mein Lob

Und dir gehört mein Lob
auch wenn ich mich verloren fühl
In der Wüste und ohne Ziel
Dir gehört mein Lob";"Chorus$$Jeder Segen, den du schenkst
wird zum Lob für dich
Und selbst, wenn ich im Dunkeln steh
Herr, gilt das für mich

Jesus, dir gehört all mein Lob
dir gehört mein Lob
Jesus, dir gehört all mein Lob
Deinen Namen preise ich, Herr";"Verse 2$$Dir gehört mein Lob
wenn die Sonne am Himmel scheint
es das Leben gut mit mir meint
Dir gehört mein Lob

Und dir gehört mein Lob
wenn der Weg auch nicht einfach ist
sich mein Lobpreis mit Leiden mischt 
Dir gehört mein Lob.";"Bridge$$Egal, was du mir gibst
 egal, was du mir nimmst
Du bist und bleibst mein Gott
Nur dir gehört mein Lob";;;
2;Majestät;Worship;DEU;https://www.youtube.com/watch?v=5VssiJjkAas&list=RD5VssiJjkAas&start_radio=1;A;"Verse 1$$Hier bin ich
Klein vor deiner Herrlichkeit
Deine Gnade hat mich befreit!
Hier bin ich
Kenne meine Sünde gut
Doch du machst mich rein durch dein Blut";"Pre-Chorus$$Ich fand ja
Die allergrößte Liebe da
Wo du dein Leben gabst
Das größte Opfer warst ";"Chorus$$Majestät, Majestät
Ich bin, wie deine Gnade mich fand
Leer und dennoch leb ich in deiner Hand
Majestät, Majestät
Verändert bin ich für alle Zeit
In der Nähe deiner Herrlichkeit";"Verse 2$$Hier bin ich
Demütig, weil du mich liebst
Vergeben kann ich
Weil du vergibst
Hier bin ich
Weiß nur, dich verlangt nach mir
Geheiligt durch das Feuer in dir";;;
3;Gott ist groß;Praise;DEU;https://www.youtube.com/watch?v=CPfFvMrf3UQ&list=RDCPfFvMrf3UQ&start_radio=1;G;"Verse 1$$Ich singe meinem Gott ein neues Lied
Ich sehe deine Wunder und ich sehe den Sieg
Ich strecke meine Hände zu dir aus
Geb alles hin weil ich dir ganz vertrau";"Chorus$$Und ich singe laut
Solange ich noch singen kann
Ich ruf es aus
Solange ich noch rufen kann
Mein Gott mein Gott ist groß
Mein Gott sitzt auf dem Thron";"Verse 2$$Ich singe meinem Gott ein neues Lied
Jeden Tag und jede Stunde
Bis die Stimme aufgibt
Ich preise deine Größe Herr
Mit allem was ich bin
Ich leg mein ganzes Leben vor dich hin";"Bridge$$Ich singe Hallelujah
Ich singe Hallelujah
Ich singe Hallelujah
Ich singe Hallelujah";;;
4;Vereint als Christi Leib;Worship;DEU;https://www.youtube.com/watch?v=li30ObjVeNI&list=RDli30ObjVeNI&start_radio=1;;"Verse 1$$Sieh wie dein Volk
Anbetend vor dir steht
Und lieblicher Duft
Wie Weihrauch sich erhebt

O sieh wie dein Volk
Voll Sehnsucht vor dir steht
Mit Liebe erfüllt
Nur deinen Namen ehrt";"Chorus$$Vereint als Christi Leib
Vereint dich anzubeten
In Wahrheit und im Geist
Wir wolln mehr

Wir wolln den König sehn
Füll unser Land mit deiner Herrlichkeit
Deiner Herrlichkeit
Die ganze Schöpfung preist
Den Vater Sohn und Geist in Ewigkeit
Bis in Ewigkeit  ";"Verse 2$$Hör wie dein Volk
Dir neue Lieder singt
Ein Klang der bezeugt
Preist den Herrn er hat gesiegt

Ihm sei Ehre alle Zeit
Alle Stimmen singt vereint
Halleluja unser König triumphiert";;;;
5;Schaffe Raum;Worship;DEU;https://www.youtube.com/watch?v=HFMLS_xieis&list=RDHFMLS_xieis&start_radio=1;;"Verse 1$$Vor dir leg ich alles hin
Was mich quält und was ich bin
Alles geb ich dir Herr
Alles geb ich dir Herr

Vor dir leg ich alles hin
Was den Frieden von mir nimmt
Alles geb ich dir, Herr";"Chorus$$Ich schaffe Raum für dich
Tu was auch immer du willst, Herr 
Tu was auch immer du willst, Herr";"Bridge$$Reiß Mauern ein, die mich von dir trennen
Brich alles auf, was dich in mir  eingrenzt
Dein Plan ist Größer  
Dein Plan ist Größer  ";;;;
6;Mein Jesus;Worship;DEU;https://www.youtube.com/watch?v=s7oI9TaHnmE&list=RDs7oI9TaHnmE&start_radio=1;;"Verse 1$$Du hast mich befreit und hast meine Sünde am Kreuz getragen
Dort starbst du für mich, Jesus

Du hast mich erwählt und hast mich berufen
Ich darf dir dienen
Jetzt leb ich für dich, Jesus";"Chorus$$Mein Jesus
ich geb dir mein Herz
Alles in mir
beugt sich vor dir
Mein Meister
zeig mir mehr von dir
mehr von dir
Jesus, ich lieb dich";"Verse2$$Deine Liebe hat
meinen Durst gestillt und
mein Herz verwandelt
Du bist, was ich brauch, Jesus";"Bridge$$Ich geb dir alles hin
Nimm mein Herz, nimm mein ganzes Herz
Ich will dein Jünger sein
Nimm mein Herz, nimm mein ganzes Herz";;;
7;Danke Jesus;Worship;DEU;https://www.youtube.com/watch?v=5_Ytl2ngskk&list=RD5_Ytl2ngskk&start_radio=1;;"Verse 1$$Deine Gnade ist
Ein reich gedeckter Tisch
Hier ist alles, was ich brauch
Du hast Zeit für mich

Zeigst mir dein Herz
Die Wunden, die du trägst
Kostbares Blut
Das mich kleidet in weiß";"Chorus$$Heilig
Ist das Lamm
Das mir sein Leben gab

Danke Jesus, Danke Jesus
Für das Kreuz, deinen Leib, für die Liebe die floss
Danke Jesus, danke Jesus
Ich nehm an, was du getan hast";"Verse2$$Salbst mein Haupt mit Öl
Nennst mich immer dein
So wie du dich hingabst
Will auch ich dir dienen, Herr

Jesus treuer Freund
Bis du wiederkommst
Will ich mich erinnern
Dass dein Werk vollendet ist";"Bridge$$Dein Blut reicht aus
Dein Blut reicht aus
Dein Blut reicht aus
Für mich, für mich

Jesus reicht aus
Jesus reicht aus
Jesus reicht aus
Für mich, für mich";;;
8;Dir allein;Praise;DEU;https://www.youtube.com/watch?v=VVZbU-pxNUs&list=RDVVZbU-pxNUs&start_radio=1;;"Verse 1$$Heute und hier, an diesem Ort
Begegnen wir dir, dem lebendigen Gott
Dein Geist ist am Wirken, in diesem Moment
Das heißt nichts ist unmöglich
weil mein Gott unmöglich nicht kennt";"Chorus$$Dir allein, dir allein
Alle Ehre gehört dir allein
Jesus dir, dir allein
Alle Ehre gehört dir allein
Du rettest und heilst
siegst und befreist
Für immer gehört dir mein Lob
Dir allein, dir allein
Alle Ehre gehört dir allein
Dir allein!";"Verse2$$O meine Seele, lobe den Herrn.
In jedem Umstand, lobe den Herrn.
Jesus ist Sieger, drum fürcht’ ich mich nicht.
Mein Lob ist der Klang deines Sieges
der Mauern durchbricht";"Bridge$$Gieß ihn aus, Gieß ihn aus
Gieß ihn aus, den Geist der Erweckung.
Füll dein Haus, Füll dein Haus,
Füll dein Haus, mit Heilung und Rettung.";;;
9;Wer Sonst;Worship;DEU;https://www.youtube.com/watch?v=oeSKZenoCOc&list=RDoeSKZenoCOc&start_radio=1;;"Verse 1$$Ich bin ein Instrument
dich zu anbeten
Und ich bin geborn zum Lobpreis deines Namens
Hörst du die Melodie
von seiner Schöpfung
Doch es erklingt ein Lied
dass niemand anders singt";"Chorus$$Wer sonst ist würdig
Wer sonst ist würdig
Da ist niemand, außer dir Jesus
Wer sonst ist würdig
Wer sonst ist würdig
Da ist niemand, außer dir Jesus";"Verse2$$Gott du bist endlos, Herr aller Zeiten
und doch wohnst du bei mir ganz tief in meinem Herz
Du heilst Zerbrochenheit
Zeigst deine Gnade
aus tiefster Dankbarkeit sing ich dir dieses Lied";"Bridge$$von Gott gesalbtes Opferlamm
der war und ist und der da kommt
sitzend auf dem Thron erhöht
heilig heilig
Gerechter Sohn vergoss sein Blut
des Vaters Liebe kundzutun
Jesus Christus hoch erhöht
(heilig heilig)";;;
10;Heilig für Immer;Worship;DEU;https://www.youtube.com/watch?v=MIkuEkmGg-U&list=RDMIkuEkmGg-U&start_radio=1;;"Verse 1$$Tausend Genrationen knien in Anbetung.
Sie singen ""Alle Ehre sei dem Lamm!""
Und wer uns schon vorausging
und wer noch glauben wird
sie singen ""Alle Ehre sei dem Lamm!""";"Pre Chorus$$Dein Name ist höher, dein Name ist größer
und nichts reicht an dich heran
Kein Thron, keine Herrschaft, kein Reich und keine Weltmacht: nein, nichts reicht an dich heran";"Chorus 1$$Und der Himmel singt: „Heilig!""
Alle Schöpfung singt: „Heilig!""
Du bist hoch erhöht, heilig, heilig für immer";"Verse2$$Hat er dir vergeben und hat er dich erlöst? 
Dann sing ihm dieses Lied für alle Zeit.
Wenn er dich befreit hat und du zu ihm gehörst, 
dann sing ihm dieses Lied für alle Zeit.
Wir singen dieses Lied in Ewigkeit.";"Chorus 2$$Hör dein Volk, es singt „Heilig!"" 
dir, dem Herrn der Herrn „Heilig!"", 
denn du bist und bleibst heilig, heilig für immer.
Denn du bist und bleibst heilig, heilig für immer.";;
